
    pProfilerData(IndexIdentifiers,i_ProfilerLineNumber,IndexProfilerTypes) := data 
      ( prStartupCore                                                                            ,   3, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,   3, 'gross time' ) : 1.085e-02,
      ( prStartupCore                                                                            ,   3, 'net time'   ) : 1.400e-06,
      ( prStartupCore                                                                            ,   5, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,   5, 'gross time' ) : 7.056e-03,
      ( prStartupCore                                                                            ,   5, 'net time'   ) : 1.650e-05,
      ( prStartupCore                                                                            ,   7, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,   7, 'gross time' ) : 1.306e-03,
      ( prStartupCore                                                                            ,   7, 'net time'   ) : 3.300e-06,
      ( prStartupCore                                                                            ,   9, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,   9, 'gross time' ) : 2.485e-03,
      ( prStartupCore                                                                            ,   9, 'net time'   ) : 2.620e-05,
      ( prStartupCore                                                                            ,  14, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  14, 'gross time' ) : 2.569e-02,
      ( prStartupCore                                                                            ,  14, 'net time'   ) : 1.700e-06,
      ( prStartupCore                                                                            ,  16, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  16, 'gross time' ) : 1.202e-02,
      ( prStartupCore                                                                            ,  16, 'net time'   ) : 2.520e-05,
      ( prStartupCore                                                                            ,  18, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  18, 'gross time' ) : 1.008e-03,
      ( prStartupCore                                                                            ,  18, 'net time'   ) : 5.200e-06,
      ( prStartupCore                                                                            ,  20, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  20, 'gross time' ) : 1.266e-02,
      ( prStartupCore                                                                            ,  20, 'net time'   ) : 2.170e-05,
      ( prStartupCore                                                                            ,  25, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  25, 'gross time' ) : 2.136e+00,
      ( prStartupCore                                                                            ,  25, 'net time'   ) : 1.600e-06,
      ( prStartupCore                                                                            ,  28, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  28, 'gross time' ) : 1.092e+00,
      ( prStartupCore                                                                            ,  28, 'net time'   ) : 5.500e-06,
      ( prStartupCore                                                                            ,  31, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  31, 'gross time' ) : 1.045e+00,
      ( prStartupCore                                                                            ,  31, 'net time'   ) : 2.200e-06,
      ( prStartupCore                                                                            ,  36, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  36, 'gross time' ) : 1.315e-01,
      ( prStartupCore                                                                            ,  36, 'net time'   ) : 6.000e-07,
      ( prStartupCore                                                                            ,  38, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  38, 'gross time' ) : 1.252e-01,
      ( prStartupCore                                                                            ,  38, 'net time'   ) : 3.800e-06,
      ( prStartupCore                                                                            ,  41, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  41, 'gross time' ) : 6.350e-03,
      ( prStartupCore                                                                            ,  41, 'net time'   ) : 8.500e-06,
      ( prStartupCore                                                                            ,  46, hits         ) : 1.000e+00,
      ( prStartupCore                                                                            ,  46, 'gross time' ) : 1.016e-04,
